"","gene_type","gene_name"
"201731","protein_coding","POU3F1"
"202087","protein_coding","RRAGC"
"202324","protein_coding","MYCBP"
"202404","protein_coding","ENSG00000274944"
"202450","protein_coding","GJA9"
"202467","protein_coding","RHBDL2"
"202552","protein_coding","AKIRIN1"
"202631","protein_coding","NDUFS5"
"202744","protein_coding","MACF1"
"204888","protein_coding","BMP8A"
"205565","protein_coding","PABPC4"
"206465","protein_coding","HEYL"
"206500","protein_coding","NT5C1A"
"206548","protein_coding","HPCAL4"
"206629","protein_coding","PPIE"
"207109","protein_coding","BMP8B"
"207129","protein_coding","OXCT2"
"207297","protein_coding","TRIT1"
"207597","protein_coding","MYCL"
"207644","protein_coding","MFSD2A"
"207994","protein_coding","CAP1"
"210752","protein_coding","PPT1"
"211132","protein_coding","RLF"
"211157","protein_coding","TMCO2"
"211174","protein_coding","ZMPSTE24"
"211454","protein_coding","COL9A2"
"212029","protein_coding","SMAP2"
"212238","protein_coding","ZFP69B"
"212366","protein_coding","ZFP69"
"212638","protein_coding","EXO5"
"213063","protein_coding","ZNF684"
"213435","protein_coding","RIMS3"
"213606","protein_coding","NFYC"
"217546","protein_coding","KCNQ4"
"217757","protein_coding","CITED4"
"217848","protein_coding","CTPS1"
"218797","protein_coding","SLFNL1"
"218964","protein_coding","SCMH1"
"219798","protein_coding","FOXO6"
"219904","protein_coding","EDN2"
"220000","protein_coding","HIVEP3"
"220094","protein_coding","ENSG00000284895"
"220120","protein_coding","GUCA2B"
"220132","protein_coding","GUCA2A"
"220166","protein_coding","FOXJ3"
"220539","protein_coding","RIMKLA"
"220584","protein_coding","ZMYND12"
"220660","protein_coding","PPCS"
"220727","protein_coding","CCDC30"
"221902","protein_coding","PPIH"
"222685","protein_coding","YBX1"
"222905","protein_coding","CLDN19"
"222945","protein_coding","P3H1"
"223486","protein_coding","C1orf50"
"223617","protein_coding","ENSG00000283580"
"223656","protein_coding","TMEM269"
"223724","protein_coding","SVBP"
"223804","protein_coding","ERMAP"
"224337","protein_coding","ZNF691"
"224566","protein_coding","SLC2A1"
"224973","protein_coding","CFAP144"
"225042","protein_coding","EBNA1BP2"
"225182","protein_coding","CFAP57"
"225541","protein_coding","TMEM125"
"225955","protein_coding","C1orf210"
"226078","protein_coding","TIE1"
"226314","protein_coding","MPL"
"226514","protein_coding","CDC20"
"226838","protein_coding","ELOVL1"
"227704","protein_coding","MED8"
"227823","protein_coding","SZT2"
"228366","protein_coding","HYI"
"228768","protein_coding","PTPRF"
"230948","protein_coding","KDM4A"
"231680","protein_coding","ENSG00000284989"
"231780","protein_coding","ST3GAL3"
"234026","protein_coding","ARTN"
"234255","protein_coding","IPO13"
"235127","protein_coding","DPH2"
"235403","protein_coding","ATP6V0B"
"235610","protein_coding","B4GALT2"
"236097","protein_coding","CCDC24"
"236905","protein_coding","SLC6A9"
"237702","protein_coding","KLF17"
"237732","protein_coding","KLF18"
"237805","protein_coding","DMAP1"
"238154","protein_coding","ERI3"
"238548","protein_coding","RNF220"
"238803","protein_coding","TMEM53"
"238883","protein_coding","ARMH1"
"239372","protein_coding","KIF2C"
"239912","protein_coding","RPS8"
"240070","protein_coding","BEST4"
"240225","protein_coding","PLK3"
"240441","protein_coding","DYNLT4"
"240562","protein_coding","BTBD19"
"240666","protein_coding","PTCH2"
"240835","protein_coding","EIF2B3"
"241280","protein_coding","HECTD3"
"242090","protein_coding","UROD"
"242890","protein_coding","ZSWIM5"
"243058","protein_coding","HPDL"
"243066","protein_coding","MUTYH"
"246447","protein_coding","ENSG00000288208"
"246494","protein_coding","TOE1"
"246647","protein_coding","TESK2"
"247156","protein_coding","CCDC163"
"247328","protein_coding","MMACHC"
"247371","protein_coding","PRDX1"
"247893","protein_coding","AKR1A1"
"248640","protein_coding","NASP"
"249967","protein_coding","CCDC17"
"250240","protein_coding","GPBP1L1"
"251528","protein_coding","TMEM69"
"251706","protein_coding","IPP"
"251887","protein_coding","MAST2"
"252843","protein_coding","PIK3R3"
"253111","protein_coding","P3R3URF-PIK3R3"
"253169","protein_coding","TSPAN1"
"253624","protein_coding","P3R3URF"
"253634","protein_coding","POMGNT1"
"256155","protein_coding","LURAP1"
"256169","protein_coding","RAD54L"
"256924","protein_coding","LRRC41"
"257231","protein_coding","UQCRH"
"257453","protein_coding","NSUN4"
"257621","protein_coding","FAAH"
"258679","protein_coding","DMBX1"
"258727","protein_coding","TMEM275"
"258837","protein_coding","KNCN"
"258869","protein_coding","MKNK1"
"260725","protein_coding","MOB3C"
"260833","protein_coding","ATPAF1"
"261242","protein_coding","TEX38"
"261292","protein_coding","EFCAB14"
"261537","protein_coding","CYP4B1"
"262068","protein_coding","CYP4A11"
"263200","protein_coding","CYP4X1"
"263292","protein_coding","CYP4Z1"
"263356","protein_coding","CYP4A22"
"263779","protein_coding","PDZK1IP1"
"263906","protein_coding","TAL1"
"264001","protein_coding","STIL"
"264861","protein_coding","CMPK1"
"265067","protein_coding","FOXE3"
"265085","protein_coding","FOXD2"
"265146","protein_coding","TRABD2B"
"265330","protein_coding","SLC5A9"
"265607","protein_coding","SPATA6"
"265983","protein_coding","AGBL4"
"266084","protein_coding","BEND5"
"266183","protein_coding","ELAVL4"
"266634","protein_coding","DMRTA2"
"266735","protein_coding","FAF1"
"267302","protein_coding","CDKN2C"
"267433","protein_coding","C1orf185"
"267509","protein_coding","RNF11"
"267584","protein_coding","TTC39A"
"268215","protein_coding","EPS15"
"270357","protein_coding","OSBPL9"
"271417","protein_coding","NRDC"
"274090","protein_coding","RAB3B"
"274169","protein_coding","TXNDC12"
"274304","protein_coding","ENSG00000285839"
"274322","protein_coding","KTI12"
"274342","protein_coding","BTF3L4"
"274572","protein_coding","ZFYVE9"
"274950","protein_coding","CC2D1B"
"275934","protein_coding","ORC1"
"276202","protein_coding","PRPF38A"
"276364","protein_coding","TUT4"
"277120","protein_coding","GPX7"
"277139","protein_coding","SHISAL2A"
"277168","protein_coding","COA7"
"277199","protein_coding","ZYG11B"
"277465","protein_coding","ZYG11A"
"277534","protein_coding","ECHDC2"
"278596","protein_coding","SCP2"
"279134","protein_coding","PODN"
"279851","protein_coding","SLC1A7"
"280015","protein_coding","CPT2"
"280208","protein_coding","CZIB"
"280359","protein_coding","MAGOH"
"280467","protein_coding","LRP8"
"283093","protein_coding","ENSG00000293253"
"283158","protein_coding","DMRTB1"
"283188","protein_coding","GLIS1"
"283300","protein_coding","NDC1"
"283960","protein_coding","YIPF1"
"284277","protein_coding","DIO1"
"284443","protein_coding","IFT25"
"284726","protein_coding","LRRC42"
"285149","protein_coding","LDLRAD1"
"285225","protein_coding","TMEM59"
"285612","protein_coding","TCEANC2"
"285719","protein_coding","ENSG00000256407"
"285770","protein_coding","CDCP2"
"285801","protein_coding","CYB5RL"
"286059","protein_coding","MRPL37"
"286220","protein_coding","SSBP3"
"286694","protein_coding","ACOT11"
"286945","protein_coding","FAM151A"
"287053","protein_coding","MROH7"
"287552","protein_coding","MROH7-TTC4"
"287784","protein_coding","TTC4"
"287968","protein_coding","PARS2"
"287987","protein_coding","TTC22"
"288091","protein_coding","CIMAP2"
"288144","protein_coding","DHCR24"
"288615","protein_coding","TMEM61"
"288710","protein_coding","BSND"
"288724","protein_coding","PCSK9"
"289028","protein_coding","USP24"
"290273","protein_coding","ENSG00000284686"
"290390","protein_coding","PLPP3"
"290475","protein_coding","PRKAA2"
"290558","protein_coding","FYB2"
"290733","protein_coding","C8A"
"291144","protein_coding","C8B"
"291688","protein_coding","DAB1"
"292496","protein_coding","OMA1"
"293189","protein_coding","TACSTD2"
"293240","protein_coding","MYSM1"
"293794","protein_coding","JUN"
"294518","protein_coding","FGGY"
"296348","protein_coding","HOOK1"
"296931","protein_coding","CYP2J2"
"297126","protein_coding","C1orf87"
"297601","protein_coding","NFIA"
"298623","protein_coding","TM2D1"
"298945","protein_coding","PATJ"
"299569","protein_coding","L1TD1"
"299856","protein_coding","KANK4"
"300091","protein_coding","USP1"
"300346","protein_coding","DOCK7"
"302363","protein_coding","ANGPTL3"
"302607","protein_coding","ATG4C"
"304347","protein_coding","ITGB3BP"
"304621","protein_coding","FOXD3"
"304683","protein_coding","ALG6"
"305102","protein_coding","EFCAB7"
"305324","protein_coding","PGM1"
"305622","protein_coding","ROR1"
"305744","protein_coding","UBE2U"
"305882","protein_coding","CACHD1"
"306406","protein_coding","RAVER2"
"306592","protein_coding","JAK1"
"308874","protein_coding","AK4"
"309321","protein_coding","DNAJC6"
"309512","protein_coding","LEPROT"
"309580","protein_coding","LEPR"
"309889","protein_coding","PDE4B"
"310231","protein_coding","SGIP1"
"312554","protein_coding","DYNLT5"
"312635","protein_coding","INSL5"
"312645","protein_coding","DNAI4"
"313130","protein_coding","MIER1"
"313437","protein_coding","SLC35D1"
"313554","protein_coding","C1orf141"
"313723","protein_coding","IL23R"
"314413","protein_coding","IL12RB2"
"314990","protein_coding","SERBP1"
"315465","protein_coding","GADD45A"
"315540","protein_coding","GNG12"
"316107","protein_coding","DIRAS3"
"316162","protein_coding","WLS"
"316496","protein_coding","RPE65"
"316662","protein_coding","DEPDC1"
"317009","protein_coding","LRRC7"
"317288","protein_coding","LRRC40"
"317614","protein_coding","SRSF11"
"318357","protein_coding","ANKRD13C"
"318945","protein_coding","CTH"
"319374","protein_coding","PTGER3"
"319524","protein_coding","ZRANB2"
"320149","protein_coding","NEGR1"
"320842","protein_coding","LRRIQ3"
"320958","protein_coding","FPGT-TNNI3K"
"321214","protein_coding","FPGT"
"321325","protein_coding","TNNI3K"
"321616","protein_coding","LRRC53"
"321632","protein_coding","ERICH3"
"321730","protein_coding","CRYZ"
"322842","protein_coding","TYW3"
"323048","protein_coding","LHX8"
"323173","protein_coding","SLC44A5"
"323370","protein_coding","ACADM"
"325026","protein_coding","RABGGTB"
